Krzysztof GRABCZUK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;7,22;32985
Łukasz Marek KMITA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;7,15;26062
Kamil BORTNICZUK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;7,13;31555
Zbigniew Włodzimierz RAU;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;7,09;32387
Marcin Michał HORAŁA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;7,03;47974
Marek AST;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;7,03;36365
Ryszard Iwon TERLECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,99;29882
Mirosław Tadeusz SUCHOŃ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;6,94;30897
Paweł PAPKE;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;6,91;27023
Urszula Stefania PASŁAWSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;6,9;26992
Marcin Bartosz PORZUCEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,85;28293
Joanna Katarzyna LICHOCKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,76;36060
Marek Jan SOWA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;6,76;24652
Joanna Zofia FRYDRYCH;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;6,72;29681
Urszula Danuta AUGUSTYN;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;6,7;27047
Krzysztof Michał PASZYK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;6,69;27642
Paweł Bartosz OLSZEWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;6,61;35289
Joanna Izabela SCHEURING-WIELGUS;KOMITET WYBORCZY NOWA LEWICA;6,55;35193
Dariusz Paweł STEFANIUK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,5;29710
Józefa SZCZUREK-ŻELAZKO;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,5;26231
Konrad Mirosław FRYSZTAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;6,5;25416
Anna Katarzyna SCHMIDT;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,49;28692
Henryk KIEPURA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;6,38;20665
Robert KROPIWNICKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;6,34;31838
Krzysztof Łukasz SZCZUCKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,33;34014
Weronika Anna SMARDUCH;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;6,33;27031
Zbigniew Krzysztof KUŹMIUK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,31;24702
Wiesław KRAJEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,15;24838
Michał Sebastian GRAMATYKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;6,13;32251
Zbigniew DOLATA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,12;25663
