mazowieckie;łosicki;23294;16535;34;387;9159;1594;2572;743;1470;606
mazowieckie;makowski;34075;24125;61;765;11984;3316;4403;944;1716;994
mazowieckie;miński;125194;99877;104;1592;37532;28362;14858;5885;7466;4060
mazowieckie;mławski;54107;37572;74;839;17480;7439;6086;2060;2700;960
mazowieckie;nowodworski;61439;46677;84;790;17066;14148;6600;3265;3091;1701
mazowieckie;ostrołęcki;68103;46845;94;1404;24624;5981;6316;2063;4371;2073
mazowieckie;Ostrołęka;37369;27283;39;462;10949;6823;4084;1862;2043;1062
mazowieckie;ostrowski;54879;39464;161;900;20661;5900;5890;1893;2902;1333
mazowieckie;otwocki;97021;80035;118;1014;29662;23168;12113;4813;5781;3412
mazowieckie;piaseczyński;148330;124147;150;1248;32813;49402;18794;9401;8250;4139
mazowieckie;Płock;86942;65710;88;748;22451;20934;11332;4987;3446;1745
mazowieckie;płocki;85651;60396;108;1507;28188;9319;12261;3025;3924;2147
mazowieckie;płoński;67957;46616;88;1225;21374;9523;7061;2585;3020;1813
mazowieckie;pruszkowski;129412;109308;163;948;30209;41858;17583;7966;7000;3657
mazowieckie;przasnyski;38714;26600;62;621;13557;4807;3560;1260;1900;894
mazowieckie;przysuski;31999;24463;110;526;15345;2360;3106;837;1649;631
mazowieckie;pułtuski;40527;29670;93;887;13239;5065;5782;1635;2173;864
mazowieckie;Radom;150435;115380;149;1107;45128;35521;14556;7122;7752;4072
mazowieckie;radomski;115706;84700;144;1579;45814;13540;9869;3612;6682;3527
mazowieckie;Siedlce;57206;44619;42;549;17511;12078;6009;2483;3747;2202
mazowieckie;siedlecki;62454;46582;63;1007;26385;4966;5926;1619;4446;2213
mazowieckie;sierpecki;38730;26249;89;618;12812;3965;4906;1419;1727;790
mazowieckie;sochaczewski;64914;49241;102;712;19823;11102;9603;2826;3306;1851
mazowieckie;sokołowski;41191;30705;113;625;16115;4261;5049;1040;2491;1104
mazowieckie;szydłowiecki;29864;20888;62;507;11464;3547;2096;814;1713;741
mazowieckie;Warszawa;1357214;1153824;1653;7639;252746;483832;157745;148116;73083;29422
mazowieckie;warszawski zachodni;95762;80264;120;728;23215;30886;11382;5648;5475;2874
mazowieckie;węgrowski;50771;37582;83;843;19691;6144;5144;1563;2869;1297
mazowieckie;wołomiński;193346;156446;187;1827;58249;44463;21904;10426;12347;7132
mazowieckie;wyszkowski;58364;43908;111;1047;19571;7686;8546;1977;3487;1580
mazowieckie;zwoleński;27568;18995;32;396;10280;2273;2741;979;1391;910
mazowieckie;żuromiński;28789;19663;53;464;9305;2537;3622;2223;1036;477
mazowieckie;żyrardowski;60046;46803;59;621;16512;13640;6767;4172;3123;1951
opolskie;brzeski;66567;46732;93;889;17152;15030;5230;3397;3416;1581
opolskie;głubczycki;33794;22267;57;532;9828;6610;1913;1152;1339;884
opolskie;kędzierzyńsko-kozielski;67625;44168;83;1025;11674;16614;4795;3123;2521;4355
opolskie;kluczborski;48374;31108;76;674;10342;9070;5336;1852;1993;1833
opolskie;krapkowicki;47276;28826;42;826;6636;8785;4108;1799;1766;4904
opolskie;namysłowski;32432;22749;40;549;8180;5958;3938;1724;1619;757
opolskie;nyski;101958;68137;163;1297;27584;20642;7558;4295;4612;2110
opolskie;oleski;49041;30811;56;795;9987;7930;4350;1996;1825;3908
opolskie;Opole;96778;74995;110;732;15895;33419;8966;7747;4386;3738
opolskie;opolski;95340;60327;93;1565;14538;19620;7865;4138;3769;8821
opolskie;prudnicki;40659;25749;51;617;9363;6750;2724;1547;1815;2925
opolskie;strzelecki;57345;35103;50;1161;8843;10813;4372;1993;2089;5821
podkarpackie;bieszczadzki;17371;11315;19;238;4174;1899;3297;462;1019;224
podkarpackie;brzozowski;49763;33397;146;574;21553;2754;4073;1012;2787;634
podkarpackie;dębicki;102205;72665;270;1082;39806;11597;8209;2739;6384;2810
podkarpackie;jarosławski;90678;61910;175;1108;35567;8624;7072;2367;5262;1874
podkarpackie;jasielski;86552;59195;152;1092;34236;8064;6878;2292;5131;1462
podkarpackie;kolbuszowski;47520;31144;109;425;18772;3207;2530;1346;3781;1075
podkarpackie;Krosno;34357;24796;63;234;10014;6921;3445;1575;1990;611
podkarpackie;krośnieński;87463;60426;167;980;33670;8647;7917;2413;5140;1624
podkarpackie;leski;24263;17121;53;338;7441;3434;3395;767;1378;361
podkarpackie;leżajski;51843;35373;103;454;21514;2676;5983;792;2918;981
podkarpackie;lubaczowski;42292;27510;77;613;14926;3075;4248;1871;2204;553
podkarpackie;łańcucki;62178;45713;63;516;25281;6092;5431;1740;4494;2137
podkarpackie;mielecki;102127;72219;196;967;38010;12141;9255;3217;6061;2527
podkarpackie;niżański;50361;32397;87;476;19517;4091;3006;1283;3139;872
podkarpackie;przemyski;56146;37089;84;939;20698;5022;4638;1224;3392;1164
podkarpackie;Przemyśl;43532;29770;102;405;12065;8906;3411;1799;2454;712
podkarpackie;przeworski;60202;41415;149;814;24346;4733;5217;1603;3615;1078
podkarpackie;ropczycko-sędziszowski;56739;40557;88;606;24492;3959;4558;1395;4130;1403
podkarpackie;rzeszowski;130939;97295;229;1289;52173;13732;11640;3983;9655;4704
podkarpackie;Rzeszów;152046;119550;153;928;38517;36140;17126;10007;11560;5187
podkarpackie;sanocki;70115;46382;110;785;23100;7975;7347;2365;3708;1087
podkarpackie;stalowowolski;78127;52694;123;729;27612;10452;5176;2573;4604;1528
podkarpackie;strzyżowski;47185;32263;89;476;18381;3653;3352;1310;3247;1833
podkarpackie;Tarnobrzeg;33878;24256;45;254;9234;7935;3112;1421;1710;581
podkarpackie;tarnobrzeski;40473;26799;65;496;14379;3584;4298;1022;2171;833
podlaskie;augustowski;43285;28956;75;578;13197;4723;4954;1861;2598;1004
podlaskie;białostocki;118039;87045;174;1322;35245;18661;16471;3588;8862;2862
podlaskie;Białystok;215144;167301;226;1757;51738;44811;36932;10921;15980;4894
podlaskie;bielski;41433;28115;111;569;11620;6088;5013;1416;2685;714
podlaskie;grajewski;34932;22154;33;571;11291;3127;3581;792;2028;760
podlaskie;hajnowski;34229;22637;34;513;5751;6334;5345;1762;2169;739
podlaskie;kolneński;28893;18227;52;367;10411;1798;2697;509;1678;761
podlaskie;Łomża;43912;31128;51;374;13645;7825;4668;1088;2596;910
podlaskie;łomżyński;39077;26101;89;509;15083;2863;3383;572;2653;1034
podlaskie;moniecki;30259;18642;55;402;9594;2336;3159;551;2067;530
podlaskie;sejneński;15207;9743;38;230;3888;1855;2056;528;774;406
podlaskie;siemiatycki;33506;21344;63;441;9580;3995;3620;908;2069;721
podlaskie;sokólski;50227;32533;124;693;16054;5064;5470;1136;3156;968
podlaskie;suwalski;27064;18423;78;463;8518;2601;3294;787;2017;736
podlaskie;Suwałki;49986;34934;58;517;12838;9256;5998;1794;3143;1369
podlaskie;wysokomazowiecki;42840;30317;76;469;18368;2686;4182;626;3082;904
podlaskie;zambrowski;33061;22297;57;403;11456;2948;4075;639;2091;660
pomorskie;bytowski;57426;38805;60;808;14115;12153;4567;2831;2919;1392
